#           x             T        mag(U)             p
       -4.995       348.432   9.51967e-12        100000
       -4.985       348.432   9.01933e-12        100000
       -4.975       348.432   8.02155e-12        100000
       -4.965       348.432   7.43514e-12        100000
       -4.955       348.432   6.40966e-12        100000
       -4.945       348.432   7.61603e-12        100000
       -4.935       348.432   6.66494e-12        100000
       -4.925       348.432   5.40022e-12        100000
       -4.915       348.432   4.66064e-12        100000
       -4.905       348.432   7.40305e-12        100000
       -4.895       348.432   4.92905e-12        100000
       -4.885       348.432   5.28498e-12        100000
       -4.875       348.432   5.04137e-12        100000
       -4.865       348.432   5.97642e-12        100000
       -4.855       348.432   3.87876e-12        100000
       -4.845       348.432    4.0188e-12        100000
       -4.835       348.432    2.4317e-12        100000
       -4.825       348.432   3.30402e-12        100000
       -4.815       348.432   2.56882e-12        100000
       -4.805       348.432   2.65197e-12        100000
       -4.795       348.432   1.39309e-12        100000
       -4.785       348.432    2.9831e-12        100000
       -4.775       348.432   2.31792e-12        100000
       -4.765       348.432   2.34855e-12        100000
       -4.755       348.432   1.64253e-12        100000
       -4.745       348.432   2.42003e-12        100000
       -4.735       348.432   1.23263e-12        100000
       -4.725       348.432   2.01596e-12        100000
       -4.715       348.432   2.86203e-12        100000
       -4.705       348.432   1.08092e-12        100000
       -4.695       348.432   2.22894e-12        100000
       -4.685       348.432   2.92913e-12        100000
       -4.675       348.432   2.86786e-12        100000
       -4.665       348.432   2.62134e-12        100000
       -4.655       348.432   3.02686e-12        100000
       -4.645       348.432    5.6307e-13        100000
       -4.635       348.432   9.86101e-13        100000
       -4.625       348.432   7.43952e-14        100000
       -4.615       348.432   2.34126e-12        100000
       -4.605       348.432   1.98387e-12        100000
       -4.595       348.432   3.70371e-12        100000
       -4.585       348.432   2.72053e-12        100000
       -4.575       348.432   1.89197e-12        100000
       -4.565       348.432   4.52206e-13        100000
       -4.555       348.432   3.13627e-13        100000
       -4.545       348.432   1.12468e-12        100000
       -4.535       348.432   4.04068e-12        100000
       -4.525       348.432     3.358e-12        100000
       -4.515       348.432   4.70149e-12        100000
       -4.505       348.432   5.01074e-12        100000
       -4.495       348.432   4.57895e-12        100000
       -4.485       348.432   3.93711e-12        100000
       -4.475       348.432   3.77811e-12        100000
       -4.465       348.432   3.27777e-12        100000
       -4.455       348.432   1.33328e-12        100000
       -4.445       348.432   3.01228e-12        100000
       -4.435       348.432   3.71393e-12        100000
       -4.425       348.432   2.52068e-12        100000
       -4.415       348.432   8.44604e-13        100000
